1,"1515156434775","Cerveja Skol Beats Senses Specialty Beer Ale 313ml","4.99","2.46","24","5000","15","Bebidas Alcóolicas","UN","Emporio da Cerveja","C:\Users\joaoo\OneDrive\Documentos\NetBeansProjects\9º Periodo\Sistemas distribuidos\WebServiceSoapServidor\src\java\Imagens\Bebidas Alcóolicas\skolBeatsSenses.jpg"
2,"4372168532484","Cerveja Corona Pale Lager 355ml","4.98","2.46","64","1000","10","Bebidas Alcóolicas","UN","Emporio da Cerveja","C:\Users\joaoo\OneDrive\Documentos\NetBeansProjects\9º Periodo\Sistemas distribuidos\WebServiceSoapServidor\src\java\Imagens\Bebidas Alcóolicas\corona.jpg"
3,"2468438974542","Cerveja Sol Premium Pilsen Lager 330ml","3.69","1.16","42","1000","25","Bebidas Alcóolicas","UN","Emporio da Cerveja","C:\Users\joaoo\OneDrive\Documentos\NetBeansProjects\9º Periodo\Sistemas distribuidos\WebServiceSoapServidor\src\java\Imagens\Bebidas Alcóolicas\sol.jpg"
4,"4667754855575","Cerveja Eisenbahn Pilsen 355ml","2.99","1.8","100","3000","40","Bebidas Alcóolicas","UN","Triunfo","C:\Users\joaoo\OneDrive\Documentos\NetBeansProjects\9º Periodo\Sistemas distribuidos\WebServiceSoapServidor\src\java\Imagens\Bebidas Alcóolicas\eisenbahn.jpg"
5,"4378642489065","Cerveja Skol Beats Secret 313ml","4.99","4","100","5500","50","Bebidas Alcóolicas","UN","Conquista","C:\Users\joaoo\OneDrive\Documentos\NetBeansProjects\9º Periodo\Sistemas distribuidos\WebServiceSoapServidor\src\java\Imagens\Bebidas Alcóolicas\skolSecret.jpg"
6,"7518925249264","Tequila Don Julio Blanco 750ml","286.9","144.65","38","6790","90","Bebidas Alcóolicas","UN","Economia","C:\Users\joaoo\OneDrive\Documentos\NetBeansProjects\9º Periodo\Sistemas distribuidos\WebServiceSoapServidor\src\java\Imagens\Bebidas Alcóolicas\donJulio.jpg"
7,"3498755166241","Whisky Grand Old Parr 12 Anos 1 Litro","135.9","69.15","32","5934","85","Bebidas Alcóolicas","UN","Campeão","C:\Users\joaoo\OneDrive\Documentos\NetBeansProjects\9º Periodo\Sistemas distribuidos\WebServiceSoapServidor\src\java\Imagens\Bebidas Alcóolicas\oldPar.jpg"
8,"6672434855335","Whisky Johnnie Walker Black Label 12 Anos 1 Litro","149.9","76.15","76","3563","89","Bebidas Alcóolicas","UN","Atacadão","C:\Users\joaoo\OneDrive\Documentos\NetBeansProjects\9º Periodo\Sistemas distribuidos\WebServiceSoapServidor\src\java\Imagens\Bebidas Alcóolicas\balckLabel.jpg"
9,"5277683863600","Whisky Jack Daniel's Premium 1 Litro","119","60.7","79","9279","33","Bebidas Alcóolicas","UN","Assai","C:\Users\joaoo\OneDrive\Documentos\NetBeansProjects\9º Periodo\Sistemas distribuidos\WebServiceSoapServidor\src\java\Imagens\Bebidas Alcóolicas\jack.jpg"
10,"7401697826457","Whisky Johnnie Walker Red Label 1 Litro","89.99","46.195","42","5032","47","Bebidas Alcóolicas","UN","Dinamite","C:\Users\joaoo\OneDrive\Documentos\NetBeansProjects\9º Periodo\Sistemas distribuidos\WebServiceSoapServidor\src\java\Imagens\Bebidas Alcóolicas\red.jpg"
